controller	setup_name	objective	objective_original_weights	state_error_cost	control_increment_cost	control_setpoint_cost	wall_s	mpc_wall_mean_s	mpc_wall_max_s	mpc_solver_mean_s	error
N4SID	original	190.41787654567227	190.41787654567227	140.7766877114902	19.59971158629684	30.041477247885247	81.58034258394036	0.04994989802509857	0.19318858301267028	0.02326949659983317	
CT	original	174.81444812281072	174.81444812281072	149.47967007234638	13.311731584687033	12.023046465777698	86.44573808298446	0.053179855324405556	0.19538187503349036	0.025977645874023438	
T2D2	original	162.3311958812133	162.3311958812133	134.55548790668996	14.982982518465718	12.792725456057603	411.64141137502156	0.26693056516566627	0.4821937499800697	0.040455741405487064	
T3D3	original	160.93501053959037	160.93501053959037	134.93882450745053	12.976026130888213	13.020159901251477	407.52747645799536	0.26627030569679727	0.5248144579818472	0.0403061515490214	
NMPC	original	145.62960989639097	145.62960989639097	123.82581296416016	11.304942456685502	10.498854475545482	442.4071424170397	0.2804202964203432	0.6431575419846922		
N4SID	qy_x10	1412.7289764896207	283.026556328905	1255.2249112896889	51.929831061588175	105.57423413834799	77.0633450410096	0.048917889037402344	0.19422554201446474	0.02290414015452067	
CT	qy_x10	1425.4089603630323	218.3697650482711	1341.1546614608415	42.43451598469691	41.81978291748976	84.45069050008897	0.0538701911449898	0.21784483396913856	0.026427799542744955	
T2D2	qy_x10	1435.3810173423785	271.6915861224481	1292.9882569110314	71.49906737146529	70.89369305987961	399.68619395792484	0.26117279668843063	0.5566244159126654	0.04030357599258423	
T3D3	qy_x10	1531.0586374145141	293.5709097689512	1374.9863640506221	60.44080031611894	95.63147304777	388.7714874170488	0.2540808707102357	0.5345931670162827	0.03964862330754598	
NMPC	qy_x10	1153.738317016334	176.24536502786506	1086.1032799871703	32.877300459227754	34.757736569920404	478.12654216599185	0.30422711331684454	0.6929086250020191		
N4SID	qy_x5	739.115726668055	237.58451710375581	626.9140119553721	38.414977762901444	73.78673694977994	78.18855366692878	0.047315112237508096	0.16657191701233387	0.023038792292277017	
CT	qy_x5	761.4717667623682	198.41241594108757	703.824188526601	29.573248670302274	28.074329565465433	86.27234341704752	0.05266570477971497	0.1830266659380868	0.026419872760772706	
T2D2	qy_x5	745.5439087142144	229.31587063344637	645.2850476009576	48.22760834014983	52.03125277310496	390.8095287079923	0.25287215124427653	0.36602750001475215	0.03983054828643799	
T3D3	qy_x5	784.1271908233819	241.72192958646536	678.0065765461482	39.248157987710776	66.87245628952518	391.4672038339777	0.2558012695791355	0.3840095839696005	0.039964101950327555	
NMPC	qy_x5	606.1906902585904	162.29446120036	554.8702863227876	25.237505316456836	26.08289861934592	465.07006141601596	0.29545300965670807	0.7332830420928076		
N4SID	qy_x2	331.55592069856215	202.6466003898497	257.81864061742635	28.436158049676635	45.30112203145967	81.97698770905845	0.04982096716520997	0.1798810000764206	0.02356305249532064	
