trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	dev_mae	test_mae
0	13	1	0.5	elu	40	80	0.001251	14.6	1.75	1.69	3152	10.5	15.34
1	16	2	1.0	relu	120	40	0.0004121	15.9	3.82	1.37	6700	10.16	13.96
2	31	2	1.0	elu	20	80	0.000742	2.95	13.1	2.02	807	10.65	13.78
3	18	3	0.5	elu	20	160	0.0004531	4.11	2.14	0.831	8500	17.1	17.9
4	7	3	0.5	elu	80	80	0.0004863	1.3	18.5	0.747	6928	10.03	12.21
5	20	3	1.0	relu	80	160	0.0006323	7.33	12.3	1.79	4109	10.43	12.54
6	8	2	2.0	elu	80	80	0.002885	19.9	8.82	0.907	981	10.49	13.19
7	4	2	0.5	relu	120	80	0.001242	18.6	4.6	4.24	4540	10.4	12.53
8	6	2	2.0	relu	120	160	0.0008783	19.4	4.72	2.08	6489	10.53	13.04
11	7	3	2.0	elu	20	160	0.0006131	7.28	3.95	0.701	7456	11.13	13.84
