trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	cl_tracking	cl_du
8	15	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	2219	10.23	11.96	True	1129	1083	46.33
14	9	3	0.5	elu	80	80	0.000529	14.7	9.89	0.545	9826	3357	10.41	12.72	True	555.9	522.7	33.17
11	24	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	2411	10.59	14.22	True	3137	3113	23.71
15	27	1	2.0	relu	120	40	0.001263	2.1	10.3	0.573	5458	2638	10.37	12.13	True	526.7	510.8	15.91
13	6	1	0.5	relu	80	40	0.0003138	1.11	12.4	0.521	5248	3442	10.34	12.71	True	4236	3816	420.3
16	32	2	0.5	gelu	20	160	0.0008789	1.79	6.23	1.86	7679	1754	9.785	13.91	False	1e+06		
10	20	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	3303	10.56	13.13	True	4025	3959	66.21
9	16	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	3914	10.21	13.29	True	318.7	297.9	20.75
12	32	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	3430	10.23	12.99	True	5414	5393	21.16
20	12	3	1.0	relu	40	40	0.000346	5.89	3.28	4	1081	686	10.41	11.9	True	6156	5592	564.1
17	27	2	2.0	gelu	120	40	0.0008555	6.63	2.59	1.65	5578	1576	10.35	12.32	True	4627	4426	201
22	21	3	2.0	gelu	120	80	0.0003324	13.6	5.73	3.36	4684	2257	10.39	12.36	False	1e+06		
21	10	2	1.0	gelu	20	80	0.0003605	4.69	1.57	2.44	8992	1814	15.76	13.21	True	312.9	290.7	22.26
24	27	3	0.5	elu	20	160	0.002957	2.07	14.2	4	4339	1622	29.27	20.5	True	2046	2031	15.63
19	28	1	0.5	relu	40	80	0.0004506	1.7	7.4	3.22	4583	3543	12.8	16.03	False	1e+06		
23	10	2	0.5	gelu	80	160	0.0003139	2.31	2.04	3.62	2838	3092	10.71	13.31	False	1e+06		
25	15	3	2.0	gelu	120	40	0.001713	3.1	8.71	2.63	2021	1450	10.22	12.06	True	434	412.6	21.33
18	6	1	1.0	gelu	80	40	0.0003292	5.2	8	0.62	4648	3757	10.28	12.16	True	423.8	389.8	34.05
26	17	3	1.0	gelu	120	40	0.0003607	3.28	4.36	0.831	3540	2345	10.21	11.94	True	3381	3204	177.6
31	17	2	1.0	gelu	120	40	0.0003551	1.5	1.84	4.43	6239	1100	10.17	12	True	3511	3358	153.1
33	10	3	1.0	gelu	20	80	0.000343	1.3	1.15	2.02	6272	556	10.73	12.76	True	2235	1929	306.5
27	16	3	2.0	relu	120	40	0.001444	1.81	10.3	0.832	4533	1847	10.41	12.63	True	5384	5321	62.15
29	6	2	1.0	gelu	20	40	0.0005012	2.33	2.09	2.25	5351	1193	10.31	11.83	True	807.9	767.3	40.58
30	8	1	1.0	gelu	120	40	0.0004388	1.83	1.73	2.37	5265	2407	10.12	11.65	True	2095	2029	66.28
32	10	2	1.0	gelu	120	40	0.0005489	7.78	1.1	3.11	457	1965	10.09	11.77	True	7493	7269	224.8
35	7	2	0.5	gelu	20	80	0.0003035	5.56	2.33	2.28	9925	1210	10.48	11.72	True	7146	6562	583.9
28	12	2	0.5	gelu	120	40	0.0004289	1.24	1.13	3.95	4603	3592	10.18	11.89	True	307.9	288.9	19.02
34	17	2	1.0	gelu	120	40	0.0005124	1.48	1.15	2.15	3929	2301	10.22	12.1	True	350.3	330	20.25
41	9	1	1.0	gelu	120	40	0.0003204	6.98	1.61	2.24	1858	1403	10.04	11.61	True	4742	4250	492.4
40	12	2	1.0	gelu	120	40	0.0005607	3.39	1.56	2.34	1134	2222	10.18	12.07	True	554.8	507.8	47.03
38	18	3	1.0	gelu	120	40	0.0006036	1.06	1.43	3.33	1888	2177	10.33	12.14	True	5311	5234	77.38
36	19	2	1.0	gelu	120	40	0.0007022	1.67	1.92	4.19	6017	2715	10.37	12.46	True	1.073e+04	1.071e+04	23.43
42	15	2	0.5	gelu	20	40	0.000618	1.27	1.48	3.1	679	762	17.15	12.28	True	3159	3128	30.59
37	18	2	1.0	gelu	120	40	0.0004794	1.8	1.06	2.68	1047	3069	10.21	12.16	True	2082	2053	29.13
39	19	2	1.0	gelu	120	40	0.0003927	5.22	2.93	3.82	1904	2390	10.23	12.12	True	1784	1761	23.42
43	12	2	0.5	gelu	120	40	0.0005302	1.32	1.68	2.6	6993	2867	10.19	11.85	True	5565	5262	303.2
48	10	2	1.0	gelu	20	80	0.00038	3.95	1.39	2.86	7297	1425	35.7	37.36	True	1767	1632	134.3
50	13	2	0.5	gelu	120	40	0.000343	3.1	2.17	4.62	3980	1499	10.11	11.62	True	7940	7337	603
45	9	2	1.0	gelu	120	40	0.000321	1.45	1.07	3.72	7727	3015	10.21	11.65	True	1422	1326	96.18
46	8	2	0.5	gelu	120	40	0.000659	1.1	2.01	4.92	3387	3381	10.39	12.3	True	282.9	268.1	14.82
47	19	2	1.0	gelu	120	40	0.0006495	1.14	1.95	2.91	3558	2241	10.25	12.31	True	306.4	286.7	19.78
44	21	2	1.0	gelu	120	40	0.0003949	2.55	1.36	2.96	1584	3845	9.651	12.84	True	478.7	453.9	24.84
49	16	2	1.0	gelu	120	40	0.0006243	1.72	1.49	1.74	5536	3354	10.21	11.99	True	315.3	298	17.34
52	13	3	0.5	gelu	120	40	0.0005448	1.3	1.18	2.72	7120	2606	10.32	12.35	True	910.6	883.5	27.17
51	17	1	1.0	gelu	120	40	0.000435	1.88	1.07	4.52	3020	3155	10.08	11.76	True	7400	7373	27.37
54	15	2	0.5	gelu	120	40	0.0003772	1.75	1.8	2.81	4063	2651	10.18	12.05	True	5739	5697	41.76
53	9	2	0.5	gelu	120	40	0.0003666	1.76	1.4	4.35	3971	3871	10.18	11.71	True	1108	1025	83.67
55	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	4274	4000	10.24	12.04	True	193.3	174.1	19.2
76	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	11	2016	10.17	12.01	True	4672	4320	352.5
75	8	2	0.5	gelu	120	40	0.000659	1.1	2.01	4.92	3388	2201	10.12	12.1	True	465.5	416	49.5
77	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	22	2622	10.26	11.91	True	2795	2571	224.1
72	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	8001	2708	10.58	12.76	True	629.5	603.8	25.7
78	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	33	2783	10.26	11.94	True	594.2	554	40.18
73	8	2	0.5	gelu	120	40	0.000659	1.1	2.01	4.92	101	3412	10.31	12.34	True	592.1	563.2	28.96
79	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	44	3373	10.51	12.44	True	629.2	597.3	31.86
74	8	2	0.5	gelu	120	40	0.000659	1.1	2.01	4.92	202	3848	10.15	11.82	True	456.2	434.1	22.16
81	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	4275	2182	10.14	12.13	True	3509	3492	16.63
80	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	55	2323	10.55	12.84	True	5859	5663	196.1
83	8	2	0.5	gelu	120	40	0.000659	1.1	2.01	4.92	101	2050	10.18	11.81	True	7698	7141	557.8
84	8	2	0.5	gelu	120	40	0.000659	1.1	2.01	4.92	202	3334	10.31	12.15	True	3915	3648	266.2
85	8	2	0.5	gelu	120	40	0.000659	1.1	2.01	4.92	3388	2954	10.23	12.21	True	343.3	314	29.3
90	18	2	1.0	gelu	120	40	0.0005948	1.25	1.58	1.73	5562	1311	10.29	12.21	True	4391	4310	81.24
87	10	2	0.5	gelu	120	40	0.0006019	1.29	1.86	3.55	5178	2698	10.21	12.03	True	721.6	687.3	34.29
88	14	3	0.5	gelu	120	40	0.0005068	1.37	1.47	4.75	5081	1890	10.14	12.17	True	4265	4125	139.9
82	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	8001	3843	10.31	12.18	True	410.1	389.3	20.85
89	13	2	0.5	gelu	120	40	0.0008758	1.16	1.75	4.46	4804	2244	10.62	12.79	True	409.8	387.8	21.98
86	5	2	0.5	gelu	120	40	0.0007294	1.67	2.09	3.93	3622	4000	10.09	11.89	True	8514	7948	566.3
94	6	2	0.5	gelu	120	40	0.0006984	1.1	1.49	4.49	1955	1595	10.12	12.03	True	5854	5332	522.2
93	10	2	1.0	gelu	120	40	0.0007287	1.76	1.95	3.53	4340	2035	10.26	12.16	True	5191	4783	408.1
96	8	2	0.5	gelu	120	40	0.0005364	1.44	1.36	3.68	4653	2285	10.41	12.79	True	9115	8544	571.3
91	8	2	0.5	gelu	120	40	0.0003932	1.39	1.43	2.8	3597	2900	10.13	11.63	True	7585	6956	628.7
95	11	2	0.5	gelu	120	40	0.000656	1.45	1.48	4.13	4004	2622	10.26	12.15	True	403.3	370.9	32.39
101	18	2	1.0	gelu	120	40	0.0003722	8.07	1.23	3.97	1672	606	10.2	11.9	True	1.103e+04	1.041e+04	616.2
92	10	2	0.5	gelu	120	40	0.0003541	1.18	1.28	4.95	4038	3693	10.08	11.56	True	328.6	302.3	26.26
98	20	2	1.0	gelu	120	40	0.0007384	1.41	1.77	2.43	3141	2536	10.49	13.02	True	2727	2702	24.24
99	16	2	1.0	gelu	120	40	0.000987	1.15	1.24	2.45	3928	2212	10.74	13.27	True	1014	992.2	21.84
97	15	2	0.5	gelu	120	40	0.0007005	1.69	1.72	3.62	3494	3411	10.63	13.6	True	1624	1604	19.64
102	7	2	0.5	gelu	120	40	0.0008477	1.31	1.87	4.61	3945	2145	10.31	12.47	True	1749	1580	169.4
100	6	2	0.5	gelu	120	40	0.0005474	1.13	2.52	4.45	4132	3427	10.23	12.06	True	7595	7104	491.8
107	12	2	0.5	gelu	120	40	0.0005657	1.42	1.28	4.49	3485	1431	10.24	12.2	True	6171	5866	304.8
110	11	2	0.5	gelu	120	40	0.0008047	1.07	2.17	3.95	4687	1027	10.31	12.45	True	7961	7296	664.9
103	8	2	0.5	gelu	120	40	0.0006836	1.45	2.27	3.33	4579	4000	10.4	12.29	True	1185	1164	20.92
108	11	2	0.5	gelu	120	40	0.0006573	1.2	1.61	3.42	3744	2466	10.29	12.52	True	6557	6533	24.85
105	6	2	0.5	gelu	120	40	0.0006329	1	2.23	4.57	4812	3282	10.4	12.51	True	747.6	695.8	51.75
104	10	2	0.5	gelu	120	40	0.0006384	1.2	2.48	3.93	3167	3427	10.33	12.5	True	4446	4383	63.57
106	10	2	0.5	gelu	120	40	0.0003534	1.09	1.35	4.68	2766	3253	10.23	11.67	True	1579	1457	121.9
111	8	2	0.5	gelu	120	40	0.0007762	1.16	1.47	4.33	5307	2059	10.26	12.36	True	618.2	581.1	37.08
109	13	2	0.5	gelu	120	40	0.0004345	1.27	1.11	4.57	3282	3197	10.26	12.08	True	479.1	455.9	23.26
115	6	2	0.5	gelu	120	40	0.0006142	1.22	2.58	3.79	4483	1961	10.2	11.97	True	8971	8293	678.7
114	7	2	0.5	gelu	120	40	0.0006134	1.24	2.87	4.85	4488	2554	10.21	12.1	True	3330	3152	177.8
119	10	2	0.5	gelu	40	40	0.0005411	1.16	1.77	4.53	3732	921	10.27	11.73	True	6058	5691	366.6
112	9	2	0.5	gelu	120	40	0.0004177	1.16	1.39	4.33	2744	3187	10.12	11.97	True	2920	2803	117.2
113	10	2	0.5	gelu	120	40	0.0003744	1.12	1.15	4.83	3935	3375	10.22	11.66	True	5332	5312	19.62
116	9	2	0.5	gelu	120	40	0.0003406	1.27	1.55	4.93	3418	3393	10.15	11.71	True	4726	4686	39.3
117	7	2	0.5	gelu	120	40	0.0005094	1.05	1.93	4.3	2877	3262	10.22	11.72	True	1402	1325	77.28
118	21	2	1.0	gelu	120	40	0.000698	1.2	1.56	2.98	3194	2550	10.31	12.31	True	296.4	278.5	17.9
