trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	cl_tracking	cl_du
1	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	4274	1198	10.63	12.44	True	2131	1971	160.1
2	4	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	2675	10.15	11.46	True	4990	4526	464.6
0	24	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	2735	9.977	12.56	True	3363	3249	113.8
3	5	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	1984	10.07	11.44	True	7379	6629	750.1
5	8	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	2225	10.13	11.63	True	3619	3356	262.5
4	7	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	2652	10.06	11.42	True	3791	3601	189.7
7	11	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	1854	10.12	11.68	True	9494	8939	555.2
6	9	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	4000	10.15	11.71	True	4117	3891	226.6
8	13	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	1630	10.08	11.86	True	7731	7323	407.8
10	16	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	1493	10.19	12.07	True	3043	3015	28.19
9	15	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	2950	10.28	12.4	True	3186	3166	20.35
11	20	2	1.0	gelu	120	40	0.0003731	1.75	1.12	3.46	2220	1059	10.18	11.93	True	3925	3735	190.2
17	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	4274	2000	10.44	12.69	True	1569	1467	101.6
18	11	2	0.5	gelu	120	40	0.0006654	1.17	1.76	4.7	4274	3000	10.22	12.04	True	4440	4246	194
2467	6	1	0.5	gelu	120	40	0.0009187	1	2.89	3.08	7356	2000	10.62	12.71	True	7837	7332	504.9
10516	4	3	2.0	gelu	120	40	0.001003	2.14	4.59	4.16	4454	2000	10.27	12.12	True	9982	9297	685.2
16799	11	2	0.5	gelu	120	40	0.0005432	1.42	4.02	1.96	6438	1000	10.1	11.82	True	6378	5971	407
16798	10	3	0.5	gelu	120	40	0.0004352	2.82	3.74	2.8	3475	4000	10.16	11.82	True	4131	3919	212.3
17511	13	1	0.5	gelu	120	40	0.0003939	1.07	1.57	2.18	4210	500	10.08	11.22	True	9944	9265	679.3
20743	7	2	0.5	gelu	120	40	0.001101	1.81	1.09	2.97	5639	2000	10.34	12.23	True	2131	1918	213.6
20742	19	2	0.5	gelu	120	40	0.0004266	1.28	3.37	4.29	1592	1500	10.15	11.73	True	6670	6373	296.8
22066	8	3	0.5	gelu	80	40	0.0005464	1.17	2.2	3.98	462	4000	10.63	13.08	True	5496	5116	380
27681	10	2	0.5	gelu	120	40	0.000663	2.31	1.3	2.56	4067	2000	10.28	12.15	True	1.19e+04	1.104e+04	851.7
32404	14	2	0.5	gelu	80	40	0.0005234	1.32	1.1	3.66	7258	2000	10.33	13.01	True	543.5	507.6	35.92
38900	15	3	0.5	gelu	120	40	0.0004344	1.21	1.94	2.98	2160	2000	10.28	12	True	1838	1747	91.27
46087	17	1	0.5	gelu	120	40	0.000591	1.12	3.03	2.51	6443	1000	10.45	12.34	True	7321	6935	386.2
50176	11	3	0.5	gelu	120	40	0.0008363	1.95	2.01	4.36	3356	2000	10.3	12.1	True	452.5	432.8	19.66
55915	16	2	0.5	gelu	80	40	0.0009164	1.37	1.04	3.29	9063	2000	10.31	13.04	True	637.6	603.3	34.34
61319	20	3	0.5	gelu	80	40	0.001068	2.73	1.01	3.04	6940	1500	11.03	13.55	True	3123	3104	19.69
61318	16	2	0.5	gelu	120	40	0.0007544	1.97	3.04	4.52	6075	2000	10.23	11.98	True	826.6	798.5	28.13
61723	10	3	0.5	gelu	120	40	0.0007764	1.86	2.02	3.44	5024	500	10.03	11.42	True	5292	4866	425.9
63465	18	2	0.5	gelu	120	40	0.001244	1.3	1.35	4.25	6985	2000	10.36	12.36	True	287.8	270.5	17.35
68620	14	2	0.5	gelu	80	40	0.0005898	1.43	1.44	4.29	7321	2000	10.66	13.35	True	770.4	716.9	53.55
74014	10	3	0.5	gelu	80	40	0.0008913	1.63	1.47	4.58	8717	3000	11.06	14.19	True	920.7	855.4	65.27
74013	15	3	0.5	gelu	120	40	0.001096	1.48	1.49	4.82	8772	2000	10.42	12.66	True	772	730.2	41.84
74994	18	2	0.5	gelu	120	40	0.001673	1.6	1.56	3.5	7104	2000	10.35	12.04	True	1471	1455	16.5
74993	20	2	0.5	gelu	80	40	0.0007887	2.21	1.54	2.83	6879	2000	10.76	13.54	True	2472	2456	15.88
75134	17	2	0.5	gelu	120	40	0.0006942	1.34	1.24	2.88	9946	2000	10.28	12.22	True	501.2	475.6	25.65
80412	9	2	0.5	gelu	80	40	0.000445	1.31	1.12	3.96	8297	2000	10.71	13.28	True	2244	2043	201.7
84237	18	2	0.5	gelu	120	40	0.001669	1.64	1.44	4.6	5464	1000	10.43	12.21	True	474	449.2	24.73
87262	8	3	0.5	gelu	120	40	0.0008714	1.45	1.13	4.77	6221	1000	10.23	11.6	True	2673	2556	116.1
87263	17	2	0.5	gelu	120	40	0.0007454	1.27	2.09	3.3	2985	1000	10.07	11.64	True	1006	960.9	45.51
87872	16	2	0.5	gelu	120	40	0.001519	1.99	1.05	4.68	8141	1000	10.42	12.28	True	394	375.8	18.23
87873	16	2	0.5	gelu	80	40	0.0003261	1.22	1.09	4.78	1919	2000	10.24	12.06	True	4269	4099	170.6
88494	17	2	0.5	gelu	120	40	0.001175	1.56	1.43	2.78	8123	1000	10.66	13.01	True	535.5	512.8	22.68
88495	18	2	0.5	gelu	120	40	0.001097	2.36	1.05	4.09	8551	1000	10.27	12.05	True	836.9	815.1	21.83
88540	23	2	0.5	gelu	120	40	0.0005899	1.65	1.04	4.92	9943	3000	10.23	12.3	True	311.4	290.7	20.7
95991	9	2	0.5	gelu	120	40	0.001364	2.19	1.39	4.59	8104	3000	10.79	13.25	True	1024	971.4	52.44
95992	20	2	0.5	gelu	120	40	0.001353	1.4	1.2	3.61	4856	3000	10.35	12.29	True	6734	6690	44.18
96432	18	2	0.5	gelu	120	40	0.001463	2.93	1.2	4.16	6837	1000	10.37	12.37	True	2259	2241	18.17
96431	17	2	0.5	gelu	120	40	0.001479	1.21	2.65	4.81	9635	3000	10.34	12.33	True	2376	2351	24.62
96805	18	2	0.5	gelu	120	40	0.001599	2.73	1.11	3.06	4782	3000	10.48	12.71	True	7115	6857	258.3
99153	20	2	0.5	gelu	120	40	0.001952	1.68	1.15	4.62	8135	4000	10.17	12.18	True	247.1	232.9	14.25
103066	22	2	0.5	gelu	120	40	0.0008429	1.76	1.88	2.53	9602	500	10.45	12.52	True	8164	7659	505.1
104842	21	2	0.5	gelu	120	40	0.001338	1.67	1.76	3.53	8273	4000	10.52	12.48	True	207.2	186.9	20.29
108957	19	2	0.5	gelu	120	40	0.001637	1.94	1.69	4.28	2978	4000	10.14	11.95	True	663.7	626.1	37.64
111176	23	1	0.5	gelu	120	40	0.001212	1.42	1.56	4.81	7637	4000	10.19	11.93	True	241.2	227	14.2
111177	22	2	0.5	gelu	120	40	0.002063	1.93	1.23	3.33	8178	4000	10.59	12.82	True	258.2	244.9	13.33
111803	25	2	0.5	gelu	120	40	0.0007967	2.19	1.43	3.87	8548	4000	10.36	12.57	True	568.7	539.7	28.99
115965	23	2	0.5	gelu	120	40	0.001236	1.49	1.83	4.15	7665	4000	10.26	12.25	True	221.9	207.6	14.24
119387	21	2	0.5	gelu	120	40	0.002769	1.74	1.39	3.44	8251	4000	10.16	12.38	True	303	283.1	19.98
121906	19	2	0.5	gelu	120	40	0.001275	1.23	1.4	4.81	7627	4000	10.47	12.72	True	270.7	256.8	13.84
125889	20	2	0.5	gelu	120	40	0.001307	1.01	1.45	3.64	8042	4000	10.15	11.87	True	670.5	659.9	10.63
125890	25	2	0.5	gelu	120	40	0.001137	1.63	2.07	4.22	8046	4000	10.13	12.13	True	1068	1051	17.48
125962	19	2	0.5	gelu	120	40	0.001968	2.13	1.06	4.81	6747	4000	10.36	12.33	True	354.6	333.4	21.16
129142	19	2	0.5	gelu	120	40	0.001397	2.2	1.6	4.48	7668	4000	10.26	12.62	True	3511	3350	160.7
131128	20	2	0.5	gelu	120	40	0.001276	1.28	2.53	3.35	6910	4000	10.32	11.96	True	270.6	254.8	15.73
135021	23	2	0.5	gelu	120	40	0.002341	2.01	1.71	3	8803	4000	10.05	11.71	True	1759	1744	14.92
135022	21	2	0.5	gelu	120	40	0.0009774	1.47	2.31	3.12	7916	4000	10.25	12.19	True	618.1	594	24.15
135484	22	2	0.5	gelu	120	40	0.001405	1.34	2.06	2.79	6903	4000	10.37	12.65	True	519.4	493.6	25.79
138230	21	2	2.0	gelu	120	40	0.00135	1.11	1.42	4.82	7527	4000	10.19	12.26	True	2086	2071	15.45
138231	19	2	0.5	gelu	120	40	0.001308	1.01	1.59	3.76	9197	4000	10.27	11.98	True	2240	2226	14.39
