trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	cl_tracking	cl_du
0	24	2	0.5	gelu	120	40	0.001118	1.5	1.38	4.48	8080	4000	10.11	11.98	True	313.3	261.1	29.76
1	27	2	0.5	gelu	120	40	0.001048	1.99	1.78	4.58	7508	2000	10.33	12.56	True	226.9	197.4	14.67
2	27	2	0.5	gelu	120	40	0.001048	1.99	1.78	4.58	7508	4000	10.41	13.1	True	198.6	172.4	12.67
3	27	2	0.5	gelu	120	40	0.001176	1.67	1.78	4.71	8029	4000	10.13	12.02	True	206.7	177.7	12.26
5	22	2	0.5	gelu	120	40	0.001282	1.12	1.24	3.53	5293	4000	10.5	12.83	True	198.5	176.2	10.73
4	26	2	0.5	gelu	120	40	0.001128	1.44	1.41	4.89	7480	4000	10.97	15.2	True	198.7	163.1	15.33
6	24	2	0.5	gelu	120	40	0.001411	1.21	1.54	3.57	7145	2000	10.15	12.1	True	234.1	192.6	23.13
7	23	2	0.5	gelu	120	40	0.001672	1.19	1.38	3.47	6959	4000	10.49	12.79	True	207.6	182.5	13.93
8	27	2	0.5	gelu	120	40	0.001105	1.45	1.45	4.39	7513	4000	10.14	12.01	True	206.6	178.4	13.43
9	26	2	0.5	gelu	120	40	0.001351	1.73	1.62	4.98	8382	2000	10.3	12.51	True	471.2	423	29.74
11	19	2	0.5	gelu	120	40	0.001077	1.35	1.22	3.97	7278	1500	10.16	11.74	True	223.4	191.1	15.22
10	24	2	0.5	gelu	120	40	0.00116	1.92	1.7	4.81	8273	3000	10.73	13.24	True	215.3	184.6	15.28
12	26	2	0.5	gelu	120	40	0.001137	1.87	1.6	4.91	8076	2000	10.09	12.03	True	207.3	180.1	14.22
13	19	2	0.5	gelu	120	40	0.001245	1.56	1.04	4.07	7209	4000	10.2	12.15	True	276.4	214.5	37.53
14	22	2	0.5	gelu	120	40	0.001652	1.71	1.14	4.05	7727	4000	10.16	12.15	True	216.2	186.4	14.08
15	17	2	0.5	gelu	120	40	0.00116	1.45	1.11	4.14	7050	4000	10.25	12.26	True	241	202.2	21.91
16	26	3	0.5	gelu	120	40	0.0009316	1.4	2.43	3.31	4841	1500	10.27	12.2	True	541	456.3	53.45
17	30	3	0.5	gelu	120	40	0.001064	1	1.5	1.64	5885	4000	10.13	12.09	True	714.3	604.7	71.09
19	20	2	0.5	relu	120	40	0.001366	1.74	2.02	4.27	3604	4000	10.56	12.73	True	325.1	269.5	32.52
18	27	1	0.5	gelu	120	40	0.000606	2.47	1.21	3.51	9654	4000	10.41	12.89	True	248.4	187.4	26.29
20	24	2	0.5	gelu	120	40	0.001291	1.47	4.25	5	7821	4000	10.32	12.18	True	308.3	267.5	21.67
21	25	2	0.5	gelu	120	40	0.0004267	3.6	2.47	3.95	7313	1500	10.27	12.15	True	500	428.6	44.05
22	29	2	0.5	elu	120	40	0.001671	2.83	3.4	3.68	7460	4000	10.27	12.43	True	479.1	413.5	41.93
