trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
0	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	500	6.415	5.111	True	8007	3754	4253
1	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	1000	5.663	4.463	True	4232	2081	2151
2	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	1500	4.357	3.615	True	722.6	349.2	373.5
3	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	2000	3.858	3.165	True	787.9	389.6	398.3
4	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	3000	3.093	2.908	True	932.5	463.5	469
5	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	4000	2.705	2.476	True	852.2	423.4	428.8
6	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	500	4.839	4.285	True	1401	668.8	732.2
7	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	1000	3.512	3.11	True	1240	807.9	431.9
12	8	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2851	1500	3.469	3.166	True	8612	5205	3407
13	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	1500	4.357	3.615	True	722.9	349.4	373.6
8	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	1500	2.759	2.631	True	731.5	389.8	341.7
9	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	2000	2.607	2.908	True	586.5	311.8	274.7
14	16	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2859	1500	3.576	3.365	True	1418	710	708.1
10	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	3000	2.217	2.365	True	419.5	227.4	192.1
15	20	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2863	1500	4.384	4.177	True	9533	6312	3220
11	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	4000	2.106	2.299	True	385.8	208.5	177.3
16	24	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2867	1500	3.369	2.955	True	1218	551.4	666.2
18	8	2	1.0	elu	40	40	0.0005956	12.3	1.49	2.19	5528	1500	5.605	4.97	True	3794	2192	1603
19	18	1	1.0	elu	120	40	0.0005137	8.06	5.03	1.1	1460	500	6.15	4.835	True	9934	4987	4947
17	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2875	1500	2.762	2.657	True	398.7	207.1	191.6
20	29	2	1.0	elu	120	40	0.0008707	6.37	3.24	1.52	5491	500	4.707	3.841	True	1.195e+04	6836	5114
21	30	3	1.0	elu	120	40	0.001604	16.3	4.27	1.06	5009	3000	2.449	2.332	True	862.8	458	404.8
22	31	2	1.0	elu	120	40	0.0004169	4.07	2.01	1.09	3133	2000	3.212	3.006	True	1018	630.2	388
23	32	2	2.0	elu	120	40	0.002039	11.2	2.14	0.853	649	4000	2.197	2.243	True	488.9	211.6	277.3
25	20	2	1.0	elu	120	40	0.0012	8.36	3.74	1.71	1286	3000	2.544	2.413	True	413	206	206.9
24	29	3	1.0	elu	120	40	0.001165	5.83	8.06	2.32	4213	4000	2.38	2.555	True	603.4	302.2	301.2
26	26	1	1.0	elu	120	40	0.0006182	10.2	4.26	3.58	3854	500	6.284	4.953	True	1.738e+04	8706	8679
27	31	2	1.0	elu	120	40	0.0006063	18.6	1.64	2.52	2354	1500	3.644	3.295	True	879.1	288.4	590.7
28	29	2	1.0	elu	120	80	0.0008361	11.5	2.02	1.27	2675	500	5.584	4.315	True	1.654e+04	8145	8390
29	30	2	1.0	elu	20	40	0.00075	10.9	3.06	0.854	2919	1500	2479	91.97	True	578.7	339.5	239.2
33	24	2	1.0	elu	120	40	0.001349	11.2	2.99	1.77	2488	1000	3.437	3.34	True	768.9	443.2	325.7
32	30	2	1.0	elu	120	40	0.0009418	12.5	1.64	2.84	3244	1500	2.913	2.716	True	2462	312	2150
30	32	2	1.0	elu	120	40	0.0003984	15.9	3.63	1.81	668	4000	2.443	2.765	True	663.7	262.3	401.4
31	28	2	1.0	elu	120	40	0.001198	6.44	5.21	1.42	316	4000	2.296	2.379	True	431.5	212.1	219.4
34	23	2	1.0	elu	120	40	0.001045	8.62	4	2.12	1201	3000	2.34	2.314	True	589.4	288.4	300.9
35	31	2	1.0	elu	120	40	0.000443	9.99	1.85	2.8	1773	1500	4.919	4.022	True	2409	1609	799.9
36	22	2	1.0	elu	120	40	0.00103	11	2.25	0.999	4017	4000	2.132	2.615	True	405.1	172.8	232.3
37	32	1	1.0	elu	120	40	0.0007968	15	5.14	2.36	804	1500	4.986	3.795	True	572.6	303.3	269.3
40	31	2	1.0	elu	120	40	0.000508	6.06	2.83	2.75	2897	1500	4.088	3.325	True	1577	741.8	834.8
39	30	2	1.0	elu	120	40	0.001124	16.3	2.92	1.53	1984	2000	2.785	2.666	True	912.8	659.8	253
38	32	2	1.0	elu	120	40	0.001035	9.52	3.9	2.9	1989	3000	2.463	2.483	True	494.5	233	261.5
42	32	2	1.0	elu	120	40	0.0005617	13.1	2.62	1.74	1021	1500	2.992	2.777	True	6415	2753	3662
44	16	2	1.0	elu	120	40	0.001418	5.96	4.95	1.22	2495	3000	2.728	2.741	True	931.1	386	545.1
41	31	2	1.0	elu	120	40	0.0008329	8.12	3.42	2.09	4374	4000	2.411	2.565	True	421.1	205.3	215.7
43	23	2	1.0	elu	120	40	0.0007302	7.71	3.38	2.06	4785	3000	2.386	2.425	True	551.9	272.1	279.7
45	27	2	1.0	elu	120	40	0.0007977	16.3	1.15	1.36	4511	4000	2.149	2.479	True	518.5	316.7	201.9
47	32	2	1.0	elu	120	40	0.001215	12.3	5.89	2.27	2683	1500	2.688	2.926	True	617.5	334	283.5
46	32	2	1.0	elu	120	40	0.0009072	10.7	6.21	1.15	2593	2000	2.783	2.974	True	2486	564	1921
48	31	2	1.0	elu	120	160	0.000487	10.8	3.12	1.68	3086	1500	5.447	3.972	True	4786	1349	3438
51	22	2	1.0	elu	120	40	0.0007382	13	5.9	2.07	1924	3000	3.208	2.888	True	2018	609.1	1409
49	29	3	1.0	elu	120	40	0.0005762	11.8	2.74	1.45	3361	3000	2.123	2.122	True	516.5	219.8	296.7
50	29	2	1.0	elu	120	40	0.0009281	17.9	2.5	1.16	2975	4000	2.097	2.02	True	349.5	161.3	188.2
52	32	2	1.0	elu	120	40	0.0007184	19.3	3.07	1.41	2460	3000	2.352	2.552	True	345.7	186.8	158.9
53	24	2	1.0	elu	120	40	0.00111	15.9	3.46	1.83	3021	1500	3.471	2.986	True	1.711e+04	9827	7282
54	31	2	1.0	elu	120	40	0.0005728	13.6	4.23	2.26	5060	1500	3.115	2.684	True	1434	752.8	681.1
55	26	2	1.0	elu	120	40	0.0008997	9.21	3.29	1.7	3749	4000	2.147	2.151	True	332.3	154.9	177.3
56	26	2	1.0	elu	120	40	0.0008772	9.75	5.96	2.02	1024	3000	2.518	2.441	True	392.9	192.8	200.1
58	31	2	1.0	elu	120	40	0.0006996	15.1	2.04	1.81	2282	1500	3.138	2.701	True	2719	437.9	2282
59	25	2	1.0	elu	120	40	0.001349	12.8	3.77	1.48	3893	4000	2.214	2.265	True	384.5	187.3	197.2
57	32	2	0.5	elu	120	40	0.0008434	9.56	1.78	2.22	3019	4000	2.574	2.392	True	344.9	171.9	172.9
60	32	2	1.0	elu	120	40	0.0008181	9.27	2.89	1.69	1778	3000	2.638	2.705	True	592.9	302.6	290.2
61	31	2	2.0	elu	120	40	0.0008567	18	2.97	1.61	1456	3000	2.071	2.143	True	515	246.2	268.8
62	30	2	1.0	elu	120	40	0.0006298	17.8	2.67	1.42	2734	3000	2.359	2.342	True	736.9	362.7	374.2
63	29	2	1.0	elu	120	40	0.0007943	16.3	2.66	1.88	2510	3000	2.373	2.275	True	544.8	298.5	246.3
64	27	2	1.0	elu	120	40	0.001069	15.1	2	1.4	3017	4000	2.148	2.096	True	349.2	174	175.3
65	31	2	1.0	elu	120	40	0.000532	18.3	4.22	0.968	1108	1500	3.517	3.097	True	3958	2947	1011
66	31	2	1.0	elu	120	40	0.0007524	5.48	2.68	1.94	3185	4000	2.573	2.825	True	483.9	177.4	306.4
68	24	2	1.0	elu	120	40	0.001457	10.1	3.7	1.53	2518	4000	2.517	2.598	True	430.6	203.3	227.3
67	31	2	1.0	elu	120	40	0.0009844	19.5	3.05	1.15	2273	4000	2.38	2.259	True	728.9	234.8	494.1
69	27	2	1.0	elu	120	40	0.0008618	16.6	2.32	0.917	3560	4000	2.004	1.951	True	380.1	165.9	214.2
70	31	2	1.0	elu	120	40	0.0005699	18.9	2.86	1.76	2338	2000	3.346	2.75	True	914.8	526.1	388.7
71	32	2	1.0	elu	120	40	0.0005523	13.7	3.97	1.8	2464	4000	2.264	2.134	True	425.5	241.8	183.7
72	32	2	1.0	elu	120	40	0.000906	17.3	3.97	1.07	2489	3000	2.719	2.724	True	430.3	214.9	215.4
73	30	2	1.0	elu	120	40	0.0007626	13.9	2.53	1.54	2903	4000	2.265	2.131	True	718.7	254.7	464
74	29	2	1.0	elu	120	40	0.0007499	19.8	3.39	1.81	1522	3000	2.252	2.07	True	384	191.9	192
76	27	2	1.0	elu	120	40	0.0007778	14.2	1.91	2.21	3032	4000	2.131	2.238	True	329.7	176.5	153.3
75	29	2	1.0	elu	120	40	0.0008416	13.6	3.76	1.13	2452	4000	2.431	2.399	True	818.4	483.4	334.9
77	23	2	1.0	elu	120	40	0.001035	18.3	2.16	1.15	2624	4000	2.168	2.183	True	363.3	198.1	165.2
78	24	2	1.0	elu	120	40	0.001289	12.1	4.81	1.59	4191	4000	2.489	2.457	True	919.7	381.1	538.5
80	24	2	1.0	elu	120	40	0.001163	16.9	2.85	1.46	2717	4000	2.106	2.266	True	320.8	163.7	157.1
79	31	2	0.5	elu	120	40	0.0007922	10	1.78	1.82	2649	4000	4.679	3.985	True	6467	3144	3323
81	27	2	1.0	elu	120	40	0.0009553	16.1	3.58	1.39	2861	4000	2.395	2.307	True	445.2	240.5	204.7
82	32	2	1.0	elu	120	40	0.0008384	13.2	4.56	1.6	1966	3000	2.521	2.658	True	1068	492.4	575.9
84	29	2	1.0	elu	120	40	0.0008775	16.2	3.14	1.2	2562	3000	2.535	2.653	True	706.7	358	348.7
83	31	2	0.5	elu	120	40	0.0009128	7.82	1.79	1.86	1780	4000	2.483	2.266	True	476.6	244.1	232.5
85	23	2	1.0	elu	120	40	0.0008422	18.8	1.43	1.69	3043	4000	2.165	2.654	True	386	186.3	199.7
86	27	2	1.0	elu	120	40	0.0009524	14.1	1.81	2.1	3116	4000	2.113	2.129	True	361.7	180.7	181
89	22	2	1.0	elu	120	40	0.0008695	14.5	2.58	1.5	2438	4000	2.198	2.169	True	696.1	347.6	348.5
87	29	2	1.0	elu	120	40	0.0007397	18.9	2.42	1.24	2342	4000	2.259	1.988	True	485.7	228.2	257.5
88	31	2	0.5	elu	120	40	0.0007056	9.72	1.74	1.8	3785	4000	2.647	2.563	True	371	181.3	189.8
92	24	2	1.0	elu	20	40	0.0009653	18.8	1.68	1.27	2625	4000	10.46	7.922	True	461.3	213.5	247.8
90	31	2	0.5	elu	120	40	0.0008317	8.4	1.99	2.32	2410	4000	5.366	4.767	True	7208	3097	4111
91	25	2	1.0	elu	120	40	0.0006865	15.9	2.34	0.92	2909	4000	3.109	2.697	True	599.7	192.2	407.5
