trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
1	8	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2851	4000	2.768	2.661	True	1e+06		
2	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	3360	2.848	2.743	True	1272	717.6	554.6
3	16	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2859	4000	2.278	2.386	True	1e+06		
0	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	3620	2.359	2.74	True	1e+06		
4	20	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2863	4000	2.487	2.662	True	1e+06		
7	16	3	0.5	elu	120	80	0.0003661	16.1	9.29	0.626	3272	4000	3.721	3.326	True	1e+06		
5	24	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2867	4000	2.233	2.39	True	1e+06		
6	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2875	3973	2.08	1.997	True	1e+06		
10	18	2	0.5	relu	40	160	0.0009596	9.9	5.54	2.78	731	2476	4.402	4.216	True	1e+06		
8	28	1	0.5	elu	80	160	0.0004361	5.01	2.48	2.48	6892	2093	6.722	4.964	True	1e+06		
9	7	2	2.0	gelu	80	40	0.000843	1.57	14.8	3.89	4350	2014	3.282	3.257	True	1e+06		
11	25	3	1.0	gelu	80	160	0.00194	3.27	9.65	0.504	2939	2121	4.582	4.46	True	1e+06		
14	4	1	1.0	elu	20	40	0.0006199	6.28	5.8	1.96	4981	1174	5.034	4.337	True	1e+06		
12	19	2	1.0	relu	20	160	0.001301	3.9	17.3	2.84	4503	4000	7.703	5.369	True	1e+06		
13	25	2	1.0	elu	120	40	0.00284	2.68	1.01	1.17	2588	2571	2.758	2.835	True	1e+06		
