trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
1	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	1000	3.883	3.39	True	8018	4641	3377
2	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	1500	3.446	3.218	True	1e+06		
3	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	2000	3.308	3.207	True	1e+06		
6	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	500	5.6	4.74	True	1e+06		
8	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	1500	3.788	3.094	True	1e+06		
7	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	1000	3.965	3.794	True	1e+06		
9	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	2000	2.802	3.054	True	1e+06		
4	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	3000	2.767	2.563	True	1e+06		
10	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	3000	2.3	2.533	True	1e+06		
5	11	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2854	4000	2.428	2.464	True	1e+06		
11	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	4000	2.204	2.276	True	1e+06		
