trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
1	25	2	1.0	elu	120	40	0.0009079	8.17	4	1.51	4300	3000	2.649	2.782	True	458.4	236.2	222.1
0	25	2	1.0	elu	120	40	0.0009079	8.17	4	1.51	4300	4000	2.258	2.282	True	343.7	177.2	166.5
3	29	2	1.0	elu	120	40	0.0007607	14.2	2.58	1.93	2031	3000	2.576	2.425	True	486.5	230	256.6
5	29	2	1.0	elu	120	40	0.0007809	15.1	1.67	2.56	4344	3000	2.205	2.268	True	346.8	177.5	169.2
6	28	2	1.0	elu	120	40	0.0009834	8.82	2.33	2.06	3761	4000	2.127	2.031	True	348.6	173.7	175
4	29	2	1.0	elu	120	40	0.0007809	15.1	1.67	2.56	4344	4000	2.092	2.204	True	342.2	170.3	171.9
2	29	2	1.0	elu	120	40	0.0007607	14.2	2.58	1.93	2031	4000	2.276	2.186	True	331.1	166.9	164.1
10	24	2	1.0	elu	120	40	0.001482	17.7	2.81	1.6	2414	4000	2.386	2.638	True	348.5	179.1	169.4
11	24	2	1.0	elu	120	40	0.001482	17.7	2.81	1.6	2414	3000	2.386	2.638	True	348.5	179.1	169.4
7	28	2	1.0	elu	120	40	0.0009834	8.82	2.33	2.06	3761	3000	2.357	2.378	True	325.8	162.7	163.1
9	28	2	1.0	elu	120	40	0.0007789	14	2.24	2	2596	3000	2.324	2.226	True	1038	522.4	515.2
8	28	2	1.0	elu	120	40	0.0007789	14	2.24	2	2596	4000	2.11	2.079	True	403.5	218.2	185.4
12	28	2	1.0	elu	120	40	0.0008445	16	1.62	2.95	3742	4000	2.259	2.409	True	378.9	193.2	185.7
13	28	2	1.0	elu	120	40	0.0008445	16	1.62	2.95	3742	3000	2.259	2.409	True	378.9	193.2	185.7
15	25	2	1.0	elu	120	40	0.0009353	8.12	3.88	1.66	3361	3000	2.667	2.699	True	400.3	202.5	197.7
14	25	2	1.0	elu	120	40	0.0009353	8.12	3.88	1.66	3361	4000	2.602	2.643	True	370	187.6	182.3
17	26	2	1.0	elu	120	40	0.001096	15.8	3.44	2.18	3297	3000	2.471	2.537	True	881.8	421.8	460.1
16	26	2	1.0	elu	120	40	0.001096	15.8	3.44	2.18	3297	4000	2.185	2.09	True	399.9	196.8	203.1
19	28	2	1.0	elu	120	40	0.00131	16.9	2.15	3.05	2979	3000	2.161	2.178	True	365.7	186.4	179.3
18	28	2	1.0	elu	120	40	0.00131	16.9	2.15	3.05	2979	4000	2.115	2.128	True	360.7	182.4	178.3
20	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	3000	2.217	2.365	True	566	296.4	269.6
22	29	2	1.0	elu	40	40	0.0004159	9.89	1.22	2.29	1979	4000	4.116	4.159	True	661	308.1	352.9
25	20	1	1.0	elu	120	40	0.0006799	8.34	2.19	1.59	3509	3000	4.042	3.14	True	705.9	361.8	344.1
23	27	2	1.0	elu	120	40	0.001731	8.98	2.55	4.01	4658	3000	2.561	2.554	True	407.3	206.5	200.8
24	32	2	1.0	elu	20	40	0.001075	9.58	4.75	3.1	2477	4000	20.43	17.79	True	1223	480.5	742.2
21	32	2	1.0	elu	120	40	0.0007531	13.3	3.34	1.75	2843	4000	2.106	2.299	True	494.9	294.9	200
26	24	3	1.0	elu	120	40	0.0004833	18.5	3.42	1.05	2502	4000	2.392	2.598	True	5955	3499	2457
27	23	2	1.0	elu	120	40	0.0004885	12.4	2.15	2.22	6648	4000	2.34	2.168	True	444.2	226.6	217.7
29	21	1	1.0	elu	120	40	0.00157	9.66	2.01	2.77	3082	4000	2.426	2.483	True	348.5	173.6	175
28	30	2	1.0	elu	120	40	0.001119	12	1.31	3.2	6077	4000	2.31	2.466	True	433.3	221.2	212
31	24	2	1.0	elu	120	80	0.001227	6.92	1.62	1.71	4362	4000	2.43	2.256	True	516.9	255	261.9
30	29	2	1.0	elu	120	40	0.0006841	11.9	3.25	4.17	730	4000	2.213	2.195	True	344.2	175.8	168.4
32	25	3	1.0	elu	120	40	0.0007135	8.68	2.11	2.93	3218	4000	2.279	1.988	True	403.3	201.5	201.8
33	32	1	1.0	elu	120	40	0.0009531	12.1	4.52	1.21	2257	4000	3.965	3.401	True	713.9	349.8	364.2
34	31	2	1.0	elu	120	40	0.0008802	5.47	1.99	1.9	2904	500	4.103	3.407	True	1075	562.9	512.3
35	23	2	1.0	elu	120	40	0.001519	13.8	1.41	3.88	4645	2000	2.551	2.279	True	530.3	277.9	252.4
36	27	2	1.0	elu	120	160	0.001113	19.8	1.01	1.95	3825	4000	3.358	2.976	True	2317	1158	1159
39	18	2	1.0	elu	120	40	0.0008521	12.8	4.69	2.41	2480	4000	2.236	2.331	True	461.8	229.5	232.4
