trial	method	n	SS_f	SS_p	f_extra	p_over_f	centering	SS_A_stability	SS_PK_B_reval	rho	n_ident	test_mae	cl_of	cl_tracking	cl_du	error
0	PARSIM-K	13	40	40	27	1	None		False	0.993812	13	10.625	478.863	286.059	11.4139	
1	N4SID	13	40	40	27		None	True		0.99212	13	10.5693	263.526	175.513	13.2678	
2	N4SID	7	34	34	27		None	True		0.991812	7	10.5812	289.352	198.165	16.1105	
3	PARSIM-K	7	34	34	27	1	None		False	0.999081	7	78.5742	2454.55	923.085	11.3881	
4	N4SID	9	36	36	27		None	True		0.991813	9	10.6296	308.321	209.084	12.8057	
5	PARSIM-K	9	36	36	27	1	None		False	0.991815	9	10.6422	1e+06			Solver did not return an optimal solution
6	N4SID	11	38	38	27		None	True		0.99194	11	10.6671	292.641	186.883	29.8841	
7	PARSIM-K	11	38	38	27	1	None		False	0.993688	11	11.3098	480.292	249.446	11.7216	
8	N4SID	16	43	43	27		None	True		0.991905	16	10.5018	293.75	189.53	11.2392	
9	PARSIM-K	16	43	43	27	1	None		False	0.993811	16	10.9703	476.611	259.929	11.2667	
10	N4SID	20	47	47	27		None	True		0.991503	20	10.6493	280.694	184.474	11.2164	
11	PARSIM-K	20	47	47	27	1	None		False	0.993164	20	10.6198	1e+06			Solver did not return an optimal solution
12	N4SID	20	25	25	5		None	False		0.99205	20	10.5169	326.73	216.154	11.4798	
13	N4SID	17	37	37	20		MeanVal	True		0.991954	17	10.6227	288.505	191.857	11.1394	
14	N4SID	15	55	55	40		InitVal	False		0.998624	15	11.7575	294.333	191.22	12.2844	
15	N4SID	11	16	16	5		MeanVal	True		0.989494	11	10.728	270.874	182.978	11.2175	
16	N4SID	8	13	13	5		MeanVal	True		0.988068	8	10.6749	364.318	223.514	16.223	
17	N4SID	14	19	19	5		MeanVal	False		0.991077	14	10.6498	298.782	196.705	11.2728	
18	N4SID	10	50	50	40		MeanVal	True		0.991572	10	10.6023	252.623	172.021	13.962	
19	N4SID	6	46	46	40		MeanVal	True		0.991468	6	10.7566	324.179	209.212	29.8731	
20	N4SID	10	50	50	40		MeanVal	False		0.991572	10	10.6023	252.623	172.021	13.962	
21	N4SID	11	51	51	40		MeanVal	False		0.991349	11	10.657	265.236	178.838	13.2736	
22	PARSIM-K	12	52	78	40	1.5	MeanVal		True	0.999935	12	34.6551	1e+06			Solver did not return an optimal solution
23	PARSIM-K	9	29	58	20	2	MeanVal		True	0.99879	9	46.4424	1e+06			Solver did not return an optimal solution
24	N4SID	4	14	14	10		InitVal	False		0.996509	4	13.8843	1928.98	857.278	209.265	
25	N4SID	8	48	48	40		InitVal	False		0.998567	8	11.696	315.24	202.295	12.5803	
26	N4SID	13	40	40	27		MeanVal	False		0.99212	13	10.5693	263.781	175.537	13.4253	
27	N4SID	14	54	54	40		MeanVal	True		0.990294	14	10.6042	276.981	184.198	11.4189	
