trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae
2	5	2	1.0	relu	80	32	0.0003816	15.9	18.6	13.4	4185	653	11.35	9.623
3	8	1	2.0	gelu	40	32	0.001365	5	3.99	0.85	7706	833	13.6	11.35
4	2	1	1.0	gelu	40	32	0.000835	3.37	2.16	0.5	4971	871	16.06	11.89
5	2	2	2.0	gelu	40	32	0.0004128	17.8	18.3	4.16	6989	653	9.462	10.48
6	7	3	0.5	elu	40	16	0.001437	1.76	1.17	3.5	8514	580	14.94	9.736
8	9	2	1.0	gelu	40	32	0.0003738	12.3	8.44	1.02	9525	401	8.062	9.4
7	10	2	0.5	relu	40	8	0.0006833	4.56	5.12	2.24	4598	622	19.26	9.869
9	6	3	0.5	relu	40	16	0.0004295	14.9	5.78	1.53	6602	401	33.43	27.49
10	11	3	2.0	elu	40	32	0.00206	9.7	3.88	1.28	5877	983	10.95	10.18
12	10	1	1.0	elu	20	32	0.001956	6.96	1.58	1.15	6883	890	12.95	11.73
13	7	1	1.0	gelu	20	32	0.0007199	6.2	6.46	8.32	9702	826	13.56	9.313
11	6	1	0.5	relu	40	8	0.00101	1.4	13.8	10.6	8045	1176	25.73	19.85
15	3	2	2.0	gelu	40	32	0.0005664	9.71	11.9	4.72	9341	401	9.329	9.058
14	7	1	1.0	gelu	40	32	0.0003589	8.32	9.36	1.51	7643	1596	13.21	9.845
16	10	2	2.0	gelu	40	32	0.0008565	3.57	16.6	4.66	8653	794	11.8	10.42
17	11	1	1.0	gelu	40	32	0.0004543	13.9	13.7	1.04	6862	1289	14.46	11.07
19	4	2	2.0	gelu	40	16	0.0003626	6.76	8.12	1.27	8603	401	28.59	24.05
18	4	2	2.0	gelu	40	32	0.0005576	10.1	3.32	6.74	8453	2000	13.32	9.312
20	2	2	0.5	gelu	40	32	0.0006509	11.7	12.5	1.3	9954	588	8.094	8.886
21	10	2	2.0	gelu	40	32	0.0003697	11.3	13.3	3.98	9596	1171	12.8	9.284
22	8	1	1.0	gelu	40	32	0.000565	10.8	3.34	1.76	9999	1530	23.17	17.55
24	3	3	0.5	gelu	40	32	0.0006479	12.5	14.2	5.71	8190	401	7.823	9.025
25	3	3	0.5	gelu	40	32	0.0007551	8.96	17.4	5.41	6595	591	11.5	9.718
23	4	2	1.0	gelu	40	32	0.0007711	9.14	6.63	1.02	8444	1954	15.22	10.26
27	2	3	0.5	gelu	40	32	0.0006379	13.1	15.5	1.19	7531	674	15.12	11.39
26	3	1	0.5	gelu	40	32	0.0007135	19.7	7.85	0.57	7703	1132	14.97	11.31
29	3	2	0.5	gelu	40	32	0.0009663	9.7	14.4	1.92	9856	422	8.245	8.887
28	5	2	1.0	gelu	40	32	0.0003403	6.84	11	0.66	7460	635	13.05	10.37
30	2	1	0.5	gelu	40	32	0.0004029	12.6	13.8	0.748	8979	510	7.937	9.253
31	2	3	0.5	gelu	40	32	0.0008524	10.8	9.64	7.98	9244	415	7.869	8.93
33	3	2	0.5	gelu	40	32	0.0003645	13.2	7.09	0.909	8867	481	8.09	9.436
32	5	1	0.5	gelu	40	32	0.000605	10.7	13.1	0.891	7984	661	15.35	11.51
34	4	3	0.5	gelu	40	32	0.0009544	14.2	13.1	7.24	8618	1980	12.65	9.731
35	5	1	0.5	gelu	40	32	0.0004642	9.28	10.3	0.527	8688	2000	14.9	9.791
37	2	3	0.5	gelu	40	32	0.0007048	11.3	9.78	16.9	9450	1663	15.17	10.08
36	2	3	0.5	gelu	40	32	0.001039	7.2	15.7	5.45	9522	1881	14.86	10.8
38	3	3	0.5	gelu	40	32	0.0007008	13.7	9.79	3.47	9477	417	8.958	8.98
39	5	1	0.5	gelu	40	32	0.0004651	7.73	19.6	0.851	8088	661	9.165	9.017
40	2	1	0.5	gelu	40	32	0.0004304	15	12.7	0.552	9879	785	7.905	8.919
42	4	3	0.5	gelu	40	32	0.0004034	14.2	14.4	0.838	8875	1062	15.92	11.81
43	2	1	0.5	gelu	40	32	0.0003454	13.1	10.4	0.859	8650	529	7.961	9.302
41	3	3	0.5	gelu	40	8	0.001058	12.6	12.2	3.47	9361	823	16.39	9.691
44	3	1	0.5	gelu	40	32	0.0003493	17.4	9.63	0.808	9300	1153	15.6	11.66
46	2	1	0.5	gelu	40	32	0.0003242	11.2	16.6	1.16	9700	472	9.014	10.15
45	2	1	0.5	gelu	40	32	0.000437	15.7	19.2	1.16	9394	998	15.79	11.74
48	3	1	0.5	gelu	40	32	0.0003913	9.08	15.6	0.68	9390	634	13.08	10.38
47	2	1	0.5	gelu	40	32	0.0005094	18	10.8	0.856	8967	855	15.19	11.43
49	2	1	2.0	gelu	40	32	0.0003708	14.4	13.9	0.595	8063	644	8.004	8.893
51	2	1	0.5	gelu	40	32	0.0004858	10.9	13.5	1.12	9250	628	7.823	9.086
52	3	1	0.5	gelu	40	32	0.0003398	9.21	10.2	0.639	9796	441	13.52	10.58
50	3	1	0.5	gelu	40	32	0.000537	14.7	16	0.829	8702	2000	20.93	12.74
54	2	1	0.5	gelu	40	32	0.0004844	19.6	17.3	0.579	8990	401	8.484	8.906
55	4	1	0.5	gelu	40	32	0.0005243	12.7	10.5	0.544	9348	669	15.66	11.68
53	3	2	0.5	gelu	40	32	0.0006715	10.5	11.8	8.32	7360	1651	12.31	9.537
57	4	1	0.5	gelu	40	32	0.0004282	13.2	9.46	1.22	9251	518	8.242	8.893
56	2	1	0.5	gelu	40	32	0.0004764	10.5	12	0.806	9307	1089	15.56	11.62
59	2	1	0.5	gelu	40	32	0.0003363	15.7	9.49	1.05	8342	755	11.74	9.812
58	2	1	0.5	gelu	40	32	0.0003131	14.1	13.4	0.547	9630	1181	14.82	11.24
60	2	1	0.5	gelu	40	32	0.0004275	9.51	12.4	0.563	7480	644	10.93	9.53
62	3	1	0.5	gelu	40	32	0.0003721	11.2	10.8	0.547	8740	415	8.258	8.894
63	3	1	0.5	gelu	40	32	0.0003219	18.5	14	1.39	9217	628	13.86	10.76
61	3	1	0.5	gelu	40	32	0.0003069	8.22	9.28	0.828	8178	2000	15.62	11.68
65	3	1	2.0	gelu	40	32	0.0004625	15.4	12.9	0.593	8067	475	7.962	9.304
64	3	1	0.5	gelu	40	32	0.0003244	12.9	17.2	0.638	8955	1203	14.84	11.3
66	2	1	2.0	gelu	40	32	0.0004398	19.3	14.6	0.951	9673	401	14.2	10.92
68	2	1	0.5	gelu	40	32	0.0003971	12.9	7.57	1.42	9398	401	8.465	9.751
67	2	1	0.5	gelu	40	32	0.000532	15.7	7.51	0.75	9526	726	14.37	11.01
69	2	1	0.5	gelu	40	32	0.0004399	7.46	18.2	1.04	9546	668	14.67	11.16
71	4	1	0.5	gelu	40	32	0.0004046	14.3	13	0.909	9727	428	7.826	9.121
70	2	1	0.5	gelu	40	32	0.0005669	13.4	14.2	0.781	9499	1275	15.7	11.7
73	2	1	0.5	gelu	40	32	0.0003022	12.1	7.68	1.14	8370	413	13.86	10.74
72	2	1	0.5	gelu	40	32	0.0003389	7.69	12.5	1.08	9417	1144	15.89	11.8
75	3	1	0.5	gelu	40	32	0.0004503	12.9	11.2	0.921	8594	401	7.891	9.194
76	2	1	0.5	gelu	40	32	0.0003679	16.7	16.5	0.607	9980	708	10.83	9.49
77	2	1	0.5	gelu	40	32	0.000383	10.2	13.1	0.755	8986	465	9.63	9.124
74	2	1	0.5	gelu	40	32	0.000425	12.2	15.6	0.945	8566	2000	16.55	12.16
78	4	1	0.5	gelu	40	32	0.0004083	15.4	11.9	0.795	9086	1031	16.06	11.89
79	2	1	0.5	gelu	40	32	0.0003278	12.3	12.9	0.533	8372	956	9.979	9.235
81	3	1	0.5	gelu	40	32	0.0003141	12.4	12	0.72	9805	421	7.839	9.147
80	3	1	0.5	gelu	40	32	0.0004328	13.6	11.6	1.58	8663	569	10.4	9.338
82	2	1	0.5	gelu	40	32	0.0005512	11.5	14	0.528	9241	469	7.9	8.92
83	2	1	0.5	gelu	40	32	0.0005433	17.3	12.7	0.682	9713	608	7.905	9.215
85	4	1	0.5	gelu	40	32	0.0003271	17.2	14.4	0.689	9963	512	8.48	8.908
