trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae
3	5	2	0.5	elu	80	8	0.00137	4.27	5.6	11.1	3339	578	11.51	9.145
2	8	2	2.0	relu	20	8	0.0007479	2.82	1.08	3	5567	735	6.477	6.493
4	12	1	0.5	relu	40	8	0.002438	4.44	9.41	0.716	1842	841	5.312	5.333
5	8	1	0.5	gelu	20	8	0.001718	12.8	1.16	13.9	9352	424	5.156	6.373
7	11	2	0.5	elu	20	16	0.001489	12.7	4.64	0.517	7457	846	23.98	26.46
6	7	3	1.0	gelu	40	16	0.0005274	1.41	2.72	10.3	5477	1509	4.366	5.946
9	3	1	1.0	relu	20	16	0.0003632	3.58	1.13	9.39	6759	685	42.47	31.98
8	5	3	2.0	gelu	40	16	0.002283	7.04	7.1	17.1	4726	1432	4.924	5.364
10	2	3	2.0	relu	80	32	0.0004371	6.05	2.43	9.12	6087	2000	4.742	5.954
11	10	3	1.0	relu	80	32	0.002045	10.7	8.02	14.6	8841	2000	4.66	5.52
13	7	1	1.0	relu	40	16	0.0007948	1.23	1.43	1.45	4548	855	51.96	50.62
12	10	1	1.0	elu	80	8	0.001252	2.29	5.78	1.4	6897	2000	4.623	5.549
14	10	3	1.0	relu	80	32	0.0004024	7.63	1.44	7.62	8190	2000	5.157	5.047
15	12	2	1.0	gelu	40	16	0.0005101	2.17	3.13	5.93	3581	1066	5.681	6.418
16	3	2	1.0	gelu	40	16	0.0004015	1.06	3.06	8.54	5306	1627	42.87	68.65
17	6	1	1.0	elu	80	8	0.002736	3.75	3.17	4.09	7453	1216	4.788	6.63
18	10	3	1.0	gelu	40	16	0.0006752	1.24	3.14	1.64	5529	1066	16.48	10.78
19	12	1	1.0	elu	80	8	0.001039	2.24	3.34	0.912	7783	2000	4.58	5.682
20	9	1	1.0	elu	80	8	0.0009341	2.03	7.35	14.3	6782	2000	8.876	6.572
22	2	1	1.0	gelu	40	16	0.0007563	1.1	2.58	8.92	6312	1331	30.05	18.01
21	9	1	1.0	elu	80	8	0.001706	5.07	2.78	9.7	8979	1753	4.623	5.163
24	8	3	1.0	gelu	40	16	0.0006743	1.33	3.46	8.83	7852	601	42.36	40.47
25	11	2	1.0	elu	80	8	0.002214	5.75	3.04	1.4	9307	886	4.516	5.184
23	11	2	1.0	elu	80	8	0.0009669	3.94	3.63	11.7	6788	2000	4.771	5.494
26	8	2	1.0	elu	80	8	0.001993	8.41	3.5	0.637	6941	886	4.613	6.526
28	4	3	1.0	gelu	40	16	0.000644	2.92	2.56	16.6	7473	401	10.99	8.511
27	11	1	1.0	elu	80	8	0.002568	1.13	2.28	1.21	7649	1123	7.995	5.14
29	12	1	1.0	elu	80	8	0.001977	1.09	4.32	1.61	9877	1522	4.814	5.677
30	12	1	1.0	elu	80	8	0.0005471	2.1	2.42	0.626	8263	2000	6.749	23.16
32	8	3	1.0	gelu	40	16	0.001117	1.11	1.95	5.67	6460	496	5.388	6.164
31	11	1	1.0	elu	80	8	0.000892	2.43	4.52	1.23	9486	1952	5.421	6.549
33	10	2	1.0	elu	80	8	0.00147	1.85	4.98	1.27	8243	1363	4.613	5.6
34	9	1	1.0	elu	80	8	0.002524	8.01	2.52	0.589	6691	2000	4.616	5.31
35	11	2	1.0	elu	80	8	0.001156	2.2	4.1	1.13	6617	1408	4.592	5.52
37	11	1	1.0	elu	20	8	0.001335	1.45	2.58	1.09	7071	1175	11.42	6.748
